title,channel_title,category,views,likes,comment_count,engagement_rate,like_ratio,sentiment,publish_country,published_day_of_week,publish_hour,title_length,tag_count
"Afflux de migrants sur Paris, tout va pour le mieux !",Christophe Cros Houplon,People & Blogs,11051,694,610,0.118,0.9693,negative,FRANCE,Saturday,0,53,0
ADULTS REACT TO (AND MEET!) PENTATONIX,FBE,Entertainment,1188770,53270,5402,0.0494,0.9858,neutral,US,Saturday,21,38,30
Sharp Edges (One More Light Live) - Linkin Park,Linkin Park,Music,520947,51890,2934,0.1052,0.9955,neutral,GB,Thursday,17,47,1
#313 BULLSH*T MAN VS CNN! Ben Shapiro and Hodgetwins Guest | Louder With Crowder,StevenCrowder,Comedy,183712,7261,1562,0.048,0.979,neutral,CANADA,Friday,19,80,24
Opposite Twins Swap Lives for a Day!,Niki and Gabi,Howto & Style,2265238,81742,6942,0.0391,0.9736,neutral,US,Wednesday,14,36,15
Ariana Grande - No Tears Left To Cry,ArianaGrandeVevo,Music,208876887,3394437,259613,0.0175,0.9577,negative,GB,Friday,4,36,10
Fish Fry Recipe | Simple and Delicious Fish Fry | Seer Fish Recipe By Grandpa Kitchen,Grandpa Kitchen,Howto & Style,150211,10276,1258,0.0768,0.9827,positive,CANADA,Friday,18,85,28
Don't Talk - Cyanide & Happiness Shorts,ExplosmEntertainment,Comedy,1195031,62345,4263,0.0557,0.9885,positive,CANADA,Thursday,6,39,33
Lucky People Who Found the Best Things in Thrift Stores,Be Amazed,Entertainment,335950,4385,555,0.0147,0.957,positive,CANADA,Saturday,22,55,30
DARK CRIMES Official Trailer (2018) Jim Carrey Thriller Movie HD,Rapid Trailer,Film & Animation,2490269,19507,3455,0.0092,0.9318,positive,GB,Wednesday,17,64,18
MY FACE CHART RECREATION! | MILK1422,LustreLux,Howto & Style,207302,10961,1072,0.058,0.9712,neutral,US,Friday,0,36,15
A Plunger For Your Face,Daily Dose Of Internet,Entertainment,2054642,57136,7779,0.0316,0.9688,neutral,CANADA,Thursday,22,23,4
Last Workout Before the Victoria's Secret Fashion Show | Karlie Kloss,Klossy,People & Blogs,129902,6801,323,0.0548,0.9921,neutral,US,Monday,10,69,19
How To Make Mesmerizing Japanese Desserts,Tasty,Howto & Style,265304,14274,635,0.0562,0.9907,neutral,CANADA,Wednesday,19,41,12
Black Mirror - Metalhead | Official Trailer [HD] | Netflix,Netflix,Entertainment,228716,3937,610,0.0199,0.984,neutral,CANADA,Sunday,11,58,33
"Benches clear twice between Yankees, Red Sox",MLB,Sports,1052206,7354,3717,0.0105,0.9504,positive,US,Thursday,7,44,10
Mukbang Monday | Korean Crab Stew ft. Silas,Sophia Chang,Howto & Style,39222,3103,476,0.0912,0.9904,neutral,CANADA,Monday,17,43,12
Ø¨Ø±Ø§Ù…Ø¬ Ø±Ù…Ø¶Ø§Ù†: Ø§Ù„Ø­Ù„Ù‚Ø© 11: ÙƒØ¨ÙˆØ± ÙˆØ§Ù„Ø­Ø¨ÙŠØ¨ - Episode 11,2MTV,Entertainment,229375,3066,184,0.0142,0.8805,neutral,FRANCE,Sunday,22,76,14
8 Detective Riddles That Will Test Your Logic Skills,BRIGHT SIDE,Howto & Style,488304,21018,4091,0.0514,0.9596,neutral,CANADA,Saturday,11,52,18
Cardi B Acceptance Speech - Best New Artist | 2018 iHeartRadio Music Awards,iHeartRadio,Music,308098,8215,438,0.0281,0.9658,positive,GB,Monday,4,75,9
Using the Eye of the Storm Tracker in Fortnite Battle Royale Gameplay,gattu,Gaming,732916,3774,850,0.0063,0.7836,negative,GB,Tuesday,13,69,7
Cobra Kai Ep 2 - Strike First - The Karate Kid Saga Continues,Cobra Kai,Entertainment,687710,30553,3346,0.0493,0.9899,negative,GB,Wednesday,16,61,20
19 Morning Routine Pranks / Funny Pranks!,Troom Troom,Howto & Style,1033619,17411,1480,0.0183,0.9364,positive,CANADA,Sunday,15,41,23
Philip DeFranco's Patreon Scam,ImAllexx,Comedy,315738,25194,2550,0.0879,0.9147,negative,CANADA,Sunday,23,30,26
"Van Riemsdyk, Marner lift Maple Leafs to 6-5 SO win",NHL,Sports,38557,325,75,0.0104,0.9503,positive,CANADA,Thursday,3,51,7
